dataset,families,K,lambda,nonidentical,splits_observed,bic_wins,mean_delta_bic,median_delta_bic,max_delta_bic,mean_test_loglik_per_obs,mean_test_rmse,mean_test_mae,mean_rmse_skill,mean_mae_skill,finite_prediction_rate,stable_prediction_rate,median_min_pi
bird_counts,poisson+poisson+nb2,3,5.0,True,3,0,2491.964820723748,2486.399315536859,2698.030326610926,-2.6310829434991634,1631.205095336584,190.97446171422982,0.23263191911510694,0.19620639676085025,1.0,1.0,0.12090911166826064
bird_counts,poisson+zip+zinb,3,25.0,True,3,0,2497.266936501282,2539.175119566149,2719.8105508995504,-2.6327112008619022,1608.7487144676998,187.04958228294967,0.24351451600297855,0.2129929554535531,1.0,1.0,0.18201381474716807
bird_counts,nb2+zip,2,25.0,True,3,0,2505.5062714164283,2554.853588275786,2671.684473915593,-2.6441506857523356,1614.1304831734178,185.01138022496727,0.24122458061763538,0.22196112928398226,1.0,1.0,0.21301015501792198
bird_counts,zip+zinb,2,50.0,True,3,0,2509.865042397983,2533.969391965409,2651.479623625455,-2.6509674481340935,1588.0244777566338,184.490435730676,0.25340486571635285,0.22364532368328535,1.0,1.0,0.3866240550407339
bird_counts,poisson+zinb,2,5.0,True,3,0,2521.279484039556,2465.6188623346825,2694.952004201361,-2.650207596142601,1626.0482846073721,189.97188088582138,0.23491631419085235,0.20007772142280078,1.0,1.0,0.4092615876606504
bird_counts,poisson+nb2+nb2,3,100.0,True,3,0,2524.631169180284,2310.244834641744,3112.495779374556,-2.636173808247199,1653.0196943089802,191.63137913790817,0.2240020959728313,0.19405673272526616,1.0,1.0,0.09658364505365181
bird_counts,poisson+nb2,2,5.0,True,3,0,2525.5603475585644,2478.550185188462,2705.6264328009493,-2.650551630408594,1624.14328846036,189.92756537647597,0.23590582820544023,0.20030884863724496,1.0,1.0,0.4088971187143664
bird_counts,nb2+zip+zip,3,25.0,True,3,0,2525.7870128153663,2617.4888567122543,2636.556494220815,-2.6258240328064577,1606.8843612127932,184.36581561357397,0.24458431305304415,0.22460919248543806,1.0,1.0,0.16865608033563834
bird_counts,poisson+poisson+nb2,3,2.0,True,3,0,2526.327921937387,2585.9935506630864,2687.4137142169493,-2.6340190453779435,1631.5004557563452,190.9996341397566,0.23253943986048342,0.19602558174614992,1.0,1.0,0.15923970599301132
bird_counts,poisson+zinb,2,10.0,True,3,0,2535.129468416822,2479.791204374924,2708.662593505469,-2.6494755658802527,1622.6039400475192,189.226452960118,0.23656759770782362,0.20329790246685045,1.0,1.0,0.41080506127609495
bird_counts,poisson+poisson+zinb,3,10.0,True,3,0,2543.2006146588005,2410.5416984753683,2959.5418334616043,-2.631666216102055,1608.7506572076181,188.83109530515586,0.2440422162007172,0.20555211955441177,1.0,1.0,0.16866874428409903
bird_counts,poisson+zinb,2,2.0,True,3,0,2544.857913698043,2520.208465332609,2686.2413588684067,-2.644558578953278,1636.1921449206282,191.69966633540972,0.2302380777511979,0.19308441251477756,1.0,1.0,0.22378861840040837
bird_counts,nb2+zip,2,10.0,True,3,0,2546.1879072368247,2588.024924997524,2744.520770768402,-2.644693903408437,1624.3341267016992,189.69716967962748,0.23607572368756702,0.20157171454035497,1.0,1.0,0.2817805833168762
