example_id,n,rank,K,families,bic,is_true_structure,is_equiv_structure
1,1500,1,2,student_t + gaussian,5611.9711578167535,True,True
1,1500,2,2,student_t + skew_normal,5619.284314773333,False,False
1,1500,3,2,student_t + student_t,5619.332106413154,False,True
1,1500,4,2,gaussian + gaussian,5646.236304043041,False,False
1,1500,5,2,gaussian + student_t,5653.516608412045,True,True
1,1500,6,2,skew_normal + gaussian,5653.549209965367,False,False
1,1500,7,2,gaussian + skew_normal,5653.549442915749,False,False
1,1500,8,3,student_t + gaussian + gaussian,5659.108204975539,False,False
1,1500,9,2,skew_normal + student_t,5660.836332287792,False,False
1,1500,10,2,skew_normal + skew_normal,5660.862347602376,False,False
2,500,1,2,lognormal + gamma,1010.3001360020647,True,True
2,500,2,2,lognormal + lognormal,1011.760681771604,False,False
2,500,3,2,inverse_gaussian + lognormal,1015.1131497150182,False,False
2,500,4,2,lognormal + inverse_gaussian,1015.1131497150182,False,False
2,500,5,2,gamma + gamma,1029.456154608172,False,False
2,500,6,2,gamma + lognormal,1030.6346433200904,True,True
2,500,7,2,inverse_gaussian + gamma,1031.415257390871,False,False
2,500,8,2,gamma + inverse_gaussian,1031.415257390871,False,False
2,500,9,2,inverse_gaussian + inverse_gaussian,1039.561410031249,False,False
2,500,10,3,lognormal + lognormal + lognormal,1041.254223295218,False,False
2,1000,1,2,lognormal + lognormal,2563.2871741339322,False,False
2,1000,2,2,lognormal + gamma,2564.2433378587966,True,True
2,1000,3,2,gamma + lognormal,2564.2433378587966,True,True
2,1000,4,2,inverse_gaussian + lognormal,2565.582233207079,False,False
2,1000,5,2,lognormal + inverse_gaussian,2565.582233207079,False,False
2,1000,6,2,inverse_gaussian + gamma,2591.5203284732497,False,False
2,1000,7,2,gamma + gamma,2594.867032547596,False,False
2,1000,8,3,inverse_gaussian + lognormal + lognormal,2604.256228743797,False,False
2,1000,9,3,inverse_gaussian + inverse_gaussian + lognormal,2606.08162947887,False,False
2,1000,10,3,lognormal + gamma + lognormal,2607.30040394833,False,False
2,1500,1,2,gamma + lognormal,3258.459716530853,True,True
2,1500,2,2,lognormal + gamma,3258.4602188691965,True,True
2,1500,3,2,lognormal + lognormal,3261.9530748400794,False,False
2,1500,4,2,inverse_gaussian + lognormal,3295.7829612649602,False,False
2,1500,5,2,lognormal + inverse_gaussian,3295.7829612649602,False,False
2,1500,6,3,gamma + lognormal + lognormal,3299.032892751435,False,False
2,1500,7,3,lognormal + gamma + gamma,3299.4941962830503,False,False
2,1500,8,3,gamma + lognormal + gamma,3299.5532253806537,False,False
2,1500,9,3,inverse_gaussian + gamma + lognormal,3300.0667863500403,False,False
2,1500,10,3,lognormal + inverse_gaussian + gamma,3300.5034074499063,False,False
3,500,1,2,zip + poisson,2780.3369544545485,False,False
3,500,2,2,poisson + zip,2780.3824882989165,False,False
3,500,3,2,nb2 + nb2,2783.8407450771874,False,True
3,500,4,2,nb2 + zip,2786.007494804903,False,False
3,500,5,2,zip + nb2,2786.5253599231173,False,False
3,500,6,2,zip + zip,2786.5397079102095,False,False
3,500,7,2,poisson + poisson,2801.8092381074325,False,False
3,500,8,3,poisson + poisson + nb2,2802.125119344922,False,False
3,500,9,3,poisson + poisson + poisson,2802.405002117859,False,False
3,500,10,3,poisson + nb2 + poisson,2802.539085909929,False,False
3,1000,1,2,nb2 + nb2,5458.9240774140935,False,True
3,1000,2,3,zip + poisson + poisson,5479.571810667212,False,False
