scenario,example_id,seed,penalty,lambda,l1_ratio,bic,test_ll,time,tpr,fpr,fdr,fnr,mse,selected_size,active_size,tp,fp,fn,tn
B,2,202,lasso,20.0,,2299.462717753791,-1.1281849204312404,1.3222062587738037,1.0,0.39999999999999997,0.5454545454545454,0.0,0.0015276875799681612,22,10,10,12,0,18
B,2,202,lasso,50.0,,2301.1458021128506,-1.143810744048891,1.4034843444824219,0.7,0.3333333333333333,0.5882352941176471,0.3,0.005773930607971349,17,10,7,10,3,20
B,2,202,lasso,100.0,,2314.407417542148,-1.152206730375936,1.7049503326416016,0.6,0.26666666666666666,0.5714285714285714,0.4,0.007967740545542609,14,10,6,8,4,22
B,2,202,lasso,200.0,,2306.5751521552274,-1.1600348154115632,1.951935052871704,0.6,0.1,0.3333333333333333,0.4,0.008041237281093813,9,10,6,3,4,27
B,2,202,enet,1.0,0.5,2410.2132302701093,-1.1269398094880807,1.198709487915039,1.0,1.0,0.75,0.0,0.0007465665514216251,40,10,10,30,0,0
B,2,202,enet,2.0,0.5,2403.359880164577,-1.126738795041858,1.3101704120635986,1.0,0.9333333333333333,0.7368421052631579,0.0,0.0007267226577478823,38,10,10,28,0,2
B,2,202,enet,5.0,0.5,2382.9838940949317,-1.1262530023895667,1.3379597663879395,1.0,0.8333333333333334,0.7142857142857143,0.0,0.0006920459797190708,35,10,10,25,0,5
B,2,202,enet,10.0,0.5,2370.262440446914,-1.1257597889395075,1.3455772399902344,1.0,0.8,0.7058823529411765,0.0,0.0006964901179608967,34,10,10,24,0,6
B,2,202,enet,20.0,0.5,2353.5355893470737,-1.1261121831044394,1.411618947982788,1.0,0.7,0.6774193548387096,0.0,0.0008796452446879166,31,10,10,21,0,9
B,2,202,enet,50.0,0.5,2307.7736133217177,-1.1320970430073944,1.3290274143218994,1.0,0.39999999999999997,0.5454545454545454,0.0,0.002517136201054642,22,10,10,12,0,18
B,2,202,enet,100.0,0.5,2304.1008947059636,-1.1449598177758504,1.4952788352966309,0.7,0.3333333333333333,0.5882352941176471,0.3,0.006005003585553524,17,10,7,10,3,20
B,2,202,enet,200.0,0.5,2315.910562881248,-1.1529170238476663,1.7401812076568604,0.6,0.26666666666666666,0.5714285714285714,0.4,0.007974650780298955,14,10,6,8,4,22
B,4,204,none,0.0,,5091.845178664566,-2.476867873411555,10.87748122215271,1.0,1.0,0.75,0.0,0.0019878341384501324,40,10,10,30,0,0
B,4,204,lasso,1.0,,5092.014695286606,-2.475407786514896,10.780521154403687,1.0,1.0,0.75,0.0,0.001664315769991477,40,10,10,30,0,0
B,4,204,lasso,2.0,,5092.280530927192,-2.474238123247741,9.933454751968384,1.0,1.0,0.75,0.0,0.0014234784418644942,40,10,10,30,0,0
